street,job_category,Weight
cite derriere,rente,16
cite derriere,service,14
derriere les terreaux,agricole,1
derriere les terreaux,construction,2
derriere les terreaux,rente,5
derriere les terreaux,service,3
barre,administration,2
barre,agricole,32
barre,artisanat,14
barre,commerce,3
barre,construction,24
barre,rente,9
barre,service,16
chateau de vennes,service,1
place du pont,agricole,2
place du pont,artisanat,5
place du pont,commerce,4
place du pont,construction,3
place du pont,service,2
villamont maison de maitres,rente,6
cheneau de bourg,agricole,31
cheneau de bourg,artisanat,46
cheneau de bourg,commerce,2
cheneau de bourg,construction,18
cheneau de bourg,rente,9
cheneau de bourg,service,18
montee st francois,artisanat,6
montee st francois,commerce,6
montee st francois,rente,5
montee st francois,service,3
cite devant,administration,7
cite devant,agricole,9
cite devant,artisanat,22
cite devant,commerce,3
cite devant,construction,4
cite devant,rente,27
cite devant,service,16
ecole de charite,service,4
gottettaz,agricole,5
desert,agricole,1
desert,rente,1
devin,agricole,5
devin,construction,1
devin,service,1
bel-air,agricole,2
bel-air,rente,1
cour,agricole,23
cour,rente,26
cour,service,1
valency,agricole,1
taulau?,rente,7
pres de ville,rente,4
grange-neuve,agricole,8
grange-neuve,artisanat,1
grange-neuve,construction,1
grange-neuve,service,2
petit mon repos,rente,1
chailly,agricole,20
chailly,artisanat,6
chailly,construction,4
chailly,rente,3
chailly,service,1
contigny,agricole,2
contigny,rente,1
montbenon,rente,8
montbenon,service,1
beaulieu,agricole,1
beaulieu,rente,1
beaulieu,service,1
clos mont,artisanat,2
rue du pont,administration,2
rue du pont,agricole,1
rue du pont,artisanat,17
rue du pont,commerce,15
rue du pont,construction,1
rue du pont,rente,9
rue du pont,service,14
a la tuerie ?,agricole,1
marterey,administration,1
marterey,agricole,54
marterey,artisanat,49
marterey,commerce,3
marterey,construction,28
marterey,rente,27
marterey,service,51
