Source,Target,Weight
chauderon,vigneron,2
chavannes,journalier,1
chavannes,laboureur,7
chavannes,marechal-ferrant,1
cheneau de bourg,agriculteur,5
cheneau de bourg,boulanger,2
cheneau de bourg,charpentier,7
cheneau de bourg,charron,1
cheneau de bourg,cordonnier,5
cheneau de bourg,courtepointiere,1
cheneau de bourg,couturiere,2
cheneau de bourg,garde police,1
cheneau de bourg,garde-malade,1
cheneau de bourg,gypseur/gypsier,3
cheneau de bourg,imprimeur,2
cheneau de bourg,instituteur,1
cheneau de bourg,journalier,16
cheneau de bourg,journaliere,7
cheneau de bourg,laitier,1
cheneau de bourg,lessiveuse,1
cheneau de bourg,lingere,4
cheneau de bourg,macon,5
cheneau de bourg,manœuvre,1
cheneau de bourg,marechal-ferrant,2
cheneau de bourg,menuisier,7
cheneau de bourg,ouvriere,1
cheneau de bourg,rentier,2
cheneau de bourg,rentiere,5
cheneau de bourg,repasseuse,2
cheneau de bourg,sellier,1
cheneau de bourg,serrurier,2
cheneau de bourg,tailleur,2
cheneau de bourg,tailleuse,4
cheneau de bourg,tanneur,5
cheneau de bourg,tisserand,1
cheneau de bourg,tonnelier,1
cheneau de bourg,traiteur,1
cheneau de bourg,vendeur de vin,1
cheneau de bourg,vigneron,2
cheneau de bourg,voiturier,5
cite derriere,avocat,2
cite derriere,blanchisseuse,1
cite derriere,charpentier,5
cite derriere,cordonnier,1
cite derriere,couturiere,1
cite derriere,couvreur,1
cite derriere,domestique,2
cite derriere,ecrivain,1
cite derriere,fileuse,1
cite derriere,garde police,1
cite derriere,huissier,2
cite derriere,imprimeur,1
cite derriere,instituteur,1
cite derriere,journalier,7
cite derriere,journaliere,5
cite derriere,lessiveuse,1
cite derriere,macon,6
cite derriere,manœuvre,2
cite derriere,marchand,2
cite derriere,marechal-ferrant,1
cite derriere,menuisier,10
cite derriere,ministre,3
cite derriere,professeur,1
cite derriere,rentier,1
cite derriere,rentiere,13
cite derriere,sans vocation,8
cite derriere,serrurier,1
cite derriere,tailleur,1
cite derriere,tailleur de pierres,3
cite derriere,tailleuse,1
cite derriere,tisserand,1
cite derriere,tonnelier,1
cite derriere,vendeur de vin,1
cite derriere,vigneron,1
cite dessous,carrier,1
cite dessous,charpentier,1
cite dessous,cordonnier,2
cite dessous,ecrivain,1
cite dessous,femme de menage,2
cite dessous,imprimeur,1
cite dessous,instituteur,1
cite dessous,journalier,5
cite dessous,journaliere,4
cite dessous,lingere,1
cite dessous,manœuvre,1
cite dessous,menuisier,1
cite dessous,professeur,1
cite dessous,rentiere,7
cite dessous,tailleur,1
cite dessous,tailleur de pierres,2
cite dessous,tailleuse,1
cite dessous,tient pension,1
cite devant,avocat,1
cite devant,boulanger,1
cite devant,charpentier,2
cite devant,cordonnier,8
cite devant,couvreur,1
cite devant,domestique,1
cite devant,fileuse,1
cite devant,garde police,1
cite devant,huissier,3
cite devant,jardinier,1
cite devant,journalier,1
cite devant,journaliere,2
cite devant,laboureur,1
cite devant,laitier,2
cite devant,libraire,1
cite devant,lingere,1
cite devant,marchand,2
cite devant,medecin,2
cite devant,menuisier,1
cite devant,ministre,1
cite devant,pintier,2
cite devant,professeur,4
cite devant,rentier,3
cite devant,rentiere,20
cite devant,sans vocation,2
cite devant,serrurier,2
cite devant,tailleur,1
cite devant,tient pension,1
cite devant,tisserand,2
cite devant,vendeur de vin,1
cite devant,vigneron,2
cour,fermier,3
cour,jardinier,6
cour,journalier,2
cour,journaliere,1
cour,proprietaire,16
cour,rentier,3
cour,rentiere,4
cour,vigneron,11
derriere les terreaux,aubergiste,1
derriere les terreaux,charpentier,2
derriere les terreaux,instituteur,1
derriere les terreaux,jardinier,1
derriere les terreaux,rentier,2
derriere les terreaux,rentiere,1
derriere les terreaux,sans vocation,1
escaliers du marche,avocat,1
escaliers du marche,charpentier,1
escaliers du marche,cordonnier,2
escaliers du marche,courtepointiere,1
escaliers du marche,garde-malade,2
escaliers du marche,huissier,1
escaliers du marche,imprimeur,1
escaliers du marche,instituteur,2
escaliers du marche,journalier,1
escaliers du marche,journaliere,2
escaliers du marche,lingere,1
escaliers du marche,manœuvre,1
escaliers du marche,menuisier,1
escaliers du marche,rentier,1
escaliers du marche,rentiere,2
escaliers du marche,sans vocation,2
escaliers du marche,tailleur,1
etraz,avocat,2
etraz,boulanger,1
etraz,carrier,1
etraz,chapelier,1
etraz,charpentier,2
etraz,charron,2
etraz,cordonnier,2
etraz,courtepointiere,1
etraz,domestique,1
etraz,ecrivain,1
etraz,femme de menage,2
etraz,gypseur/gypsier,2
etraz,jardinier,2
etraz,journalier,7
etraz,journaliere,1
etraz,lingere,3
etraz,marchand,2
etraz,marchande,1
etraz,menuisier,2
etraz,pintier,3
etraz,rentier,7
etraz,rentiere,6
etraz,sellier,1
etraz,serrurier,1
etraz,tailleur,1
etraz,tonnelier,1
etraz,vigneron,6
etraz,voiturier,3
grand chene,charron,1
grand chene,gypseur/gypsier,1
grand chene,institutrice,1
grand chene,libraire,1
grand chene,manœuvre,1
grand chene,marchand,2
grand chene,marchande,1
grand chene,medecin,1
grand chene,ministre,1
grand chene,negociant,1
grand chene,proprietaire,3
grand chene,rentier,5
grand chene,rentiere,4
grand chene,sage-femme,2
grand chene,sellier,1
grand chene,serrurier,1
grand chene,tailleuse,1
grand chene,traiteur,2
grand chene,voiturier,1
grand st jean,agriculteur,1
grand st jean,blanchisseuse,4
grand st jean,boulanger,5
grand st jean,chapelier,2
grand st jean,charpentier,5
grand st jean,cordonnier,8
grand st jean,courtepointiere,3
grand st jean,couturiere,2
grand st jean,domestique,1
grand st jean,ecrivain,2
grand st jean,femme de menage,2
grand st jean,fileuse,2
grand st jean,fondeur,7
grand st jean,garde police,1
grand st jean,garde-malade,1
grand st jean,gypseur/gypsier,3
grand st jean,instituteur,1
grand st jean,institutrice,1
grand st jean,jardinier,2
grand st jean,journalier,7
grand st jean,journaliere,2
grand st jean,juge d'appel,2
grand st jean,laitier,1
grand st jean,lessiveuse,1
grand st jean,libraire,2
grand st jean,lingere,3
grand st jean,macon,2
grand st jean,manœuvre,1
grand st jean,marchand,7
grand st jean,marchande,2
grand st jean,medecin,2
grand st jean,menuisier,11
grand st jean,ministre,1
grand st jean,negociant,5
grand st jean,pintier,1
grand st jean,proprietaire,4
grand st jean,rentier,4
grand st jean,rentiere,28
grand st jean,repasseuse,2
grand st jean,sage-femme,3
grand st jean,serrurier,5
grand st jean,tailleur,5
grand st jean,tailleur de pierres,1
grand st jean,tailleuse,9
grand st jean,tient pension,2
grand st jean,tonnelier,3
grand st jean,traiteur,3
grand st jean,vendeur de vin,1
grand st jean,voiturier,1
grange-neuve,agriculteur,7
grange-neuve,carrier,1
grange-neuve,laboureur,1
grange-neuve,tailleur,1
grotte,fileuse,1
grotte,jardinier,2
grotte,negociant,2
grotte,proprietaire,1
grotte,rentier,2
grotte,rentiere,5
la sallaz,aubergiste,1
la sallaz,charron,1
la sallaz,fermier,2
la sallaz,journalier,3
la sallaz,laboureur,4
la sallaz,marechal-ferrant,1
la sallaz,proprietaire,1
la sallaz,tisserand,2
madeleine,avocat,1
madeleine,blanchisseuse,1
madeleine,boulanger,1
madeleine,cordonnier,1
madeleine,couturiere,1
madeleine,ecrivain,1
madeleine,garde police,1
madeleine,instituteur,1
madeleine,journalier,1
madeleine,macon,1
madeleine,marchand,5
madeleine,marchande,5
madeleine,medecin,1
madeleine,ministre,1
madeleine,pintier,1
madeleine,professeur,1
madeleine,rentier,1
madeleine,rentiere,4
madeleine,repasseuse,1
madeleine,sans vocation,5
madeleine,sellier,1
madeleine,serrurier,2
madeleine,tailleur,1
madeleine,tonnelier,1
madeleine,vendeur de vin,1
madeleine,voiturier,2
marterey,agriculteur,1
marterey,avocat,1
marterey,boulanger,1
marterey,chapelier,3
marterey,charpentier,16
marterey,charron,1
marterey,cordonnier,6
marterey,courtepointiere,1
marterey,couturiere,1
marterey,couvreur,2
marterey,domestique,3
marterey,ecrivain,1
marterey,femme de menage,2
marterey,garde police,1
marterey,garde-malade,1
marterey,institutrice,2
marterey,jardinier,6
marterey,journalier,21
marterey,journaliere,5
marterey,lessiveuse,5
marterey,lingere,12
marterey,macon,3
marterey,manœuvre,4
marterey,marchand,1
marterey,marchande,1
marterey,marechal-ferrant,6
marterey,menuisier,6
marterey,ministre,1
marterey,negociant,1
marterey,pintier,2
marterey,professeur,1
marterey,proprietaire,2
marterey,rentier,8
marterey,rentiere,8
marterey,repasseuse,1
marterey,sage-femme,1
marterey,sellier,3
marterey,serrurier,1
marterey,tailleur,1
marterey,tailleur de pierres,2
marterey,tailleuse,5
marterey,tanneur,1
marterey,tisserand,3
marterey,tonnelier,1
marterey,traiteur,1
marterey,vigneron,21
marterey,voiturier,13
maupas,carrier,1
maupas,charpentier,1
maupas,fermier,1
maupas,garde police,1
maupas,jardinier,3
maupas,journalier,1
maupas,journaliere,1
maupas,marchand,1
maupas,rentier,3
maupas,rentiere,1
maupas,tonnelier,1
maupas,vigneron,1
mercerie,avocat,1
mercerie,blanchisseuse,1
mercerie,boulanger,1
mercerie,charpentier,1
mercerie,cordonnier,9
mercerie,couturiere,1
mercerie,couvreur,2
mercerie,domestique,1
mercerie,ferblantier,1
mercerie,fermier,1
mercerie,gypseur/gypsier,1
mercerie,instituteur,1
mercerie,institutrice,1
mercerie,jardinier,1
mercerie,journalier,4
mercerie,libraire,1
mercerie,lingere,1
mercerie,macon,1
mercerie,marchand,1
mercerie,marchande,1
mercerie,menuisier,4
mercerie,pintier,1
mercerie,rentiere,3
mercerie,repasseuse,1
mercerie,tailleur,3
mercerie,tailleuse,1
mercerie,tient pension,2
mercerie,tisserand,1
mercerie,tonnelier,1
mercerie,traiteur,1
mercerie,vendeur de vin,1
montee de st laurent,aubergiste,1
montee de st laurent,boulanger,2
montee de st laurent,chapelier,1
montee de st laurent,charpentier,1
montee de st laurent,cordonnier,2
montee de st laurent,courtepointiere,1
montee de st laurent,couturiere,1
montee de st laurent,couvreur,1
montee de st laurent,ecrivain,1
montee de st laurent,ferblantier,2
montee de st laurent,garde police,2
montee de st laurent,garde-malade,1
montee de st laurent,gypseur/gypsier,1
montee de st laurent,instituteur,1
montee de st laurent,jardinier,1
montee de st laurent,journalier,4
montee de st laurent,journaliere,5
montee de st laurent,juge d'appel,2
montee de st laurent,laitier,2
montee de st laurent,lingere,3
montee de st laurent,marchand,2
montee de st laurent,marchande,3
montee de st laurent,menuisier,3
montee de st laurent,negociant,1
montee de st laurent,proprietaire,2
montee de st laurent,rentier,1
montee de st laurent,rentiere,1
montee de st laurent,sage-femme,1
montee de st laurent,sans vocation,1
montee de st laurent,serrurier,1
montee de st laurent,tailleur,2
montee de st laurent,tailleuse,2
montee de st laurent,tonnelier,2
montee de st laurent,traiteur,2
montee de st laurent,vendeur de vin,2
montee de st laurent,vigneron,1
montee st francois,avocat,1
montee st francois,chapelier,3
montee st francois,marchand,3
montee st francois,marchande,3
montee st francois,proprietaire,1
montee st francois,rentier,1
montee st francois,rentiere,2
montee st francois,tailleur,1
montee st francois,tailleuse,1
montee st francois,traiteur,1
moulin de pepinet,agriculteur,1
moulin de pepinet,avocat,1
moulin de pepinet,blanchisseuse,1
moulin de pepinet,carrier,1
moulin de pepinet,couvreur,1
moulin de pepinet,institutrice,1
moulin de pepinet,jardinier,5
moulin de pepinet,journalier,3
moulin de pepinet,journaliere,1
moulin de pepinet,marechal-ferrant,1
moulin de pepinet,meunier,4
moulin de pepinet,rentiere,1
moulin de pepinet,vigneron,2
ouchy,agriculteur,1
ouchy,aubergiste,2
ouchy,blanchisseuse,2
ouchy,boucher,2
ouchy,cordonnier,1
ouchy,journalier,24
ouchy,journaliere,9
ouchy,negociant,4
ouchy,pintier,2
ouchy,proprietaire,27
ouchy,rentier,2
ouchy,rentiere,4
ouchy,sage-femme,1
ouchy,tailleur,1
ouchy,tailleuse,2
ouchy,tonnelier,4
ouchy,traiteur,1
ouchy,vigneron,4
palud,boulanger,2
palud,chapelier,1
palud,cordonnier,1
palud,couturiere,1
palud,ecrivain,1
palud,gypseur/gypsier,1
palud,institutrice,3
palud,journalier,1
palud,laitier,1
palud,lingere,2
palud,macon,1
palud,manœuvre,1
palud,marchand,4
palud,marchande,6
palud,medecin,1
palud,menuisier,3
palud,negociant,5
palud,professeur,1
palud,rentier,5
palud,rentiere,13
palud,tailleur,3
palud,tailleur de pierres,1
palud,tailleuse,1
palud,vendeur de vin,2
petit chene,boulanger,1
petit chene,cordonnier,1
petit chene,jardinier,1
petit chene,lingere,1
petit chene,menuisier,1
petit chene,proprietaire,1
petit chene,repasseuse,2
petit chene,tient pension,1
petit chene,tonnelier,1
petit chene,vigneron,1
petit singe,jardinier,1
petit singe,negociant,1
petit singe,rentier,3
petit singe,rentiere,3
petit singe,voiturier,1
petit st jean,aubergiste,1
petit st jean,blanchisseuse,1
petit st jean,boulanger,2
petit st jean,cordonnier,4
petit st jean,couturiere,1
petit st jean,garde police,1
petit st jean,huissier,1
petit st jean,imprimeur,2
petit st jean,institutrice,2
petit st jean,journalier,1
petit st jean,journaliere,1
petit st jean,macon,1
petit st jean,marchand,1
petit st jean,marchande,3
petit st jean,menuisier,2
petit st jean,meunier,2
petit st jean,rentier,2
petit st jean,rentiere,1
petit st jean,serrurier,1
petit st jean,tailleur,2
petit st jean,tailleuse,3
petit st jean,voiturier,1
place du pont,blanchisseuse,1
place du pont,boucher,1
place du pont,ferblantier,2
place du pont,macon,1
place du pont,marchand,2
place du pont,meunier,2
place du pont,sage-femme,1
place du pont,tailleur,1
place du pont,tanneur,1
place du pont,traiteur,1
place st francois,avocat,1
place st francois,lingere,1
place st francois,marchande,2
place st francois,proprietaire,1
place st francois,rentier,6
place st francois,rentiere,7
place st francois,traiteur,1
place st francois,vendeur de vin,1
place st francois,voiturier,1
rue de l'hopital,charpentier,2
rue de l'hopital,cordonnier,2
rue de l'hopital,couvreur,1
rue de l'hopital,domestique,1
rue de l'hopital,fileuse,1
rue de l'hopital,imprimeur,1
rue de l'hopital,journalier,3
rue de l'hopital,journaliere,1
rue de l'hopital,laitier,1
rue de l'hopital,manœuvre,1
rue de l'hopital,proprietaire,1
rue de l'hopital,rentiere,1
rue de l'hopital,serrurier,2
rue de l'hopital,tailleur de pierres,1
rue de l'hopital,tailleuse,1
rue du pont,avocat,1
rue du pont,blanchisseuse,1
rue du pont,boulanger,1
rue du pont,chapelier,2
rue du pont,cordonnier,2
rue du pont,couturiere,1
rue du pont,ferblantier,1
rue du pont,garde police,2
rue du pont,garde-malade,2
rue du pont,instituteur,1
rue du pont,journalier,1
rue du pont,libraire,2
rue du pont,lingere,1
rue du pont,marchand,3
rue du pont,marchande,2
rue du pont,ministre,1
rue du pont,negociant,5
rue du pont,proprietaire,1
rue du pont,rentier,2
rue du pont,rentiere,4
rue du pont,sage-femme,1
rue du pont,tailleur,4
rue du pont,tailleuse,1
rue du pre,aubergiste,1
rue du pre,blanchisseuse,1
rue du pre,boucher,9
rue du pre,boulanger,3
rue du pre,carrier,2
rue du pre,charpentier,7
rue du pre,cordonnier,15
rue du pre,courtepointiere,1
rue du pre,couturiere,1
rue du pre,couvreur,3
rue du pre,domestique,3
rue du pre,femme de menage,5
rue du pre,fileuse,1
rue du pre,fondeur,1
rue du pre,garde police,3
rue du pre,garde-malade,1
rue du pre,gypseur/gypsier,1
rue du pre,imprimeur,7
rue du pre,jardinier,1
rue du pre,journalier,10
rue du pre,journaliere,9
rue du pre,laboureur,2
rue du pre,laitier,2
rue du pre,lessiveuse,3
rue du pre,lingere,9
rue du pre,macon,3
rue du pre,manœuvre,4
rue du pre,marchand,5
rue du pre,marchande,3
rue du pre,menuisier,3
rue du pre,meunier,1
rue du pre,negociant,1
rue du pre,proprietaire,3
rue du pre,rentier,3
rue du pre,repasseuse,1
rue du pre,sage-femme,1
rue du pre,serrurier,1
rue du pre,tailleur,6
rue du pre,tailleur de pierres,2
rue du pre,tailleuse,7
rue du pre,tanneur,10
rue du pre,tient pension,2
rue du pre,tisserand,2
rue du pre,tonnelier,1
rue du pre,traiteur,2
rue du pre,voiturier,1
st etienne,cordonnier,2
st etienne,fileuse,1
st etienne,garde police,1
st etienne,imprimeur,1
st etienne,instituteur,1
st etienne,journalier,2
st etienne,lingere,1
st etienne,macon,1
st etienne,manœuvre,1
st etienne,pintier,1
st etienne,rentier,2
st etienne,rentiere,5
st etienne,serrurier,1
st etienne,tailleur de pierres,2
st etienne,tient pension,2
st francois,aubergiste,1
st francois,blanchisseuse,1
st francois,boulanger,1
st francois,cordonnier,7
st francois,couturiere,3
st francois,ferblantier,1
st francois,imprimeur,1
st francois,journalier,2
st francois,macon,1
st francois,manœuvre,1
st francois,marchand,5
st francois,marchande,2
st francois,negociant,7
st francois,rentier,2
st francois,rentiere,10
st francois,tailleur,3
st francois,tailleuse,3
st francois,vendeur de vin,1
st laurent,aubergiste,1
st laurent,avocat,2
st laurent,blanchisseuse,1
st laurent,cordonnier,5
st laurent,courtepointiere,1
st laurent,couvreur,1
st laurent,domestique,1
st laurent,fondeur,2
st laurent,garde police,1
st laurent,gypseur/gypsier,1
st laurent,instituteur,2
st laurent,institutrice,1
st laurent,jardinier,1
st laurent,journalier,2
st laurent,journaliere,2
st laurent,juge d'appel,2
st laurent,lessiveuse,1
st laurent,lingere,3
st laurent,macon,2
st laurent,marchand,3
st laurent,marchande,5
st laurent,menuisier,8
st laurent,negociant,2
st laurent,ouvriere,2
st laurent,proprietaire,1
st laurent,rentier,5
st laurent,rentiere,4
st laurent,sellier,1
st laurent,serrurier,1
st laurent,tailleur,2
st laurent,tailleur de pierres,1
st laurent,vendeur de vin,1
st laurent,vigneron,3
st laurent,voiturier,1
st pierre,aubergiste,2
st pierre,boulanger,3
st pierre,chapelier,1
st pierre,charron,1
st pierre,cordonnier,5
st pierre,domestique,1
st pierre,ecrivain,1
st pierre,ferblantier,1
st pierre,gypseur/gypsier,3
st pierre,journalier,1
st pierre,journaliere,2
st pierre,laitier,1
st pierre,libraire,2
st pierre,lingere,2
st pierre,marchand,2
st pierre,marchande,8
st pierre,medecin,3
st pierre,menuisier,1
st pierre,ministre,1
st pierre,negociant,5
st pierre,pintier,1
st pierre,rentier,12
st pierre,rentiere,16
st pierre,repasseuse,1
st pierre,sellier,3
st pierre,tailleur,4
st pierre,tailleuse,6
st pierre,traiteur,1
st pierre,voiturier,3
vennes,agriculteur,2
vennes,fermier,1
vennes,jardinier,2
vennes,journalier,1
vennes,laboureur,5
vennes,macon,1
vennes,proprietaire,2
vennes,rentier,1
vennes,rentiere,1
